file_id,file_path,kategori_utama,sub_kategori,width,height,aspect_ratio,split_set
ECO_00001,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan577.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00002,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-41-_jpg.rf.4e753a3aa802baf455004c2b7be779a0.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00003,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_193.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00004,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_187.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00005,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_178.jpg,Anorganik,kaleng,320,280,1.14,train
ECO_00006,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_150.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00007,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_144.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00008,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000158.jpg,Anorganik,kaleng,1146,712,1.61,train
ECO_00009,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_15.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00010,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000164.jpg,Anorganik,kaleng,1024,768,1.33,train
ECO_00011,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_29.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00012,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan775.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00013,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan761.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00014,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000170.jpg,Anorganik,kaleng,794,1059,0.75,train
ECO_00015,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000038.jpg,Anorganik,kaleng,1300,1300,1.0,train
ECO_00016,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan12.jpg,Anorganik,kaleng,512,384,1.33,train
ECO_00017,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000010.jpg,Anorganik,kaleng,1300,1300,1.0,train
ECO_00018,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000004.jpg,Anorganik,kaleng,900,900,1.0,val
ECO_00019,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-15-_jpg.rf.733646859c5214a7df033b37aefa9609.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00020,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000206.jpg,Anorganik,kaleng,1300,867,1.5,train
ECO_00021,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-12-_jpg.rf.37821ef644a5363fb9f0a6d2a63d82f6.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00022,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-36-_jpg.rf.e2e8d4b290ddf1dba21633f83ee274f4.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00023,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-24-_jpg.rf.1ca9b17054f0b8031476601437e2817e.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00024,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000005.jpg,Anorganik,kaleng,600,400,1.5,val
ECO_00025,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000011.jpg,Anorganik,kaleng,845,650,1.3,train
ECO_00026,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan13.jpg,Anorganik,kaleng,512,384,1.33,test
ECO_00027,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000039.jpg,Anorganik,kaleng,653,452,1.44,test
ECO_00028,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan760.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00029,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000171.jpg,Anorganik,kaleng,300,227,1.32,test
ECO_00030,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000165.jpg,Anorganik,kaleng,750,340,2.21,train
ECO_00031,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan774.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00032,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_28.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00033,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_14.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00034,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_145.jpg,Anorganik,kaleng,280,280,1.0,test
ECO_00035,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_151.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00036,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_179.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00037,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_186.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00038,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan576.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00039,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_192.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00040,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000359.jpg,Anorganik,kaleng,260,260,1.0,train
ECO_00041,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_184.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00042,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_190.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00043,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan574.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00044,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_147.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00045,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_153.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00046,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-47-_jpg.rf.e4dcce951f8afa3fc45d3f4938efa703.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00047,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_16.jpg,Anorganik,kaleng,324,242,1.34,train
ECO_00048,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000173.jpg,Anorganik,kaleng,200,142,1.41,train
ECO_00049,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan762.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00050,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan776.jpg,Anorganik,kaleng,512,683,0.75,val
ECO_00051,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000167.jpg,Anorganik,kaleng,500,322,1.55,test
ECO_00052,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000198.jpg,Anorganik,kaleng,1500,1080,1.39,test
ECO_00053,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan11.jpg,Anorganik,kaleng,512,384,1.33,train
ECO_00054,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000007.jpg,Anorganik,kaleng,800,600,1.33,train
ECO_00055,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000013.jpg,Anorganik,kaleng,1000,1000,1.0,train
ECO_00056,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan39.jpg,Anorganik,kaleng,512,384,1.33,train
ECO_00057,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_219.jpg,Anorganik,kaleng,324,250,1.3,train
ECO_00058,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000239.jpg,Anorganik,kaleng,235,235,1.0,train
ECO_00059,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000205.jpg,Anorganik,kaleng,500,306,1.63,train
ECO_00060,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-14-_jpg.rf.d5a32cd1ddc493f332e5f5e44644b6ee.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00061,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-40-_jpg.rf.c568e587a2938aa6b19486b9bd0a462a.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00062,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000204.jpg,Anorganik,kaleng,800,600,1.33,train
ECO_00063,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000238.jpg,Anorganik,kaleng,760,784,0.97,train
ECO_00064,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_218.jpg,Anorganik,kaleng,210,280,0.75,test
ECO_00065,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan38.jpg,Anorganik,kaleng,512,384,1.33,train
ECO_00066,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000012.jpg,Anorganik,kaleng,389,240,1.62,train
ECO_00067,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000006.jpg,Anorganik,kaleng,499,394,1.27,train
ECO_00068,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-39-_jpg.rf.9ffbde53fb07fed0fac84910c88fc59c.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00069,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan777.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00070,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000166.jpg,Anorganik,kaleng,1208,1300,0.93,test
ECO_00071,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000172.jpg,Anorganik,kaleng,300,300,1.0,train
ECO_00072,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan763.jpg,Anorganik,kaleng,512,683,0.75,test
ECO_00073,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_17.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00074,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_146.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00075,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-24-_jpg.rf.25cb2573fd9e1129e3c48391577cec19.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00076,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_191.jpg,Anorganik,kaleng,206,280,0.74,train
ECO_00077,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000364.jpg,Anorganik,kaleng,500,500,1.0,train
ECO_00078,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan575.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00079,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_185.jpg,Anorganik,kaleng,280,280,1.0,val
ECO_00080,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000370.jpg,Anorganik,kaleng,800,524,1.53,train
ECO_00081,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000358.jpg,Anorganik,kaleng,400,400,1.0,train
ECO_00082,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_181.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00083,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan571.jpg,Anorganik,kaleng,512,683,0.75,test
ECO_00084,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/kaleng-43-_jpg.rf.faebe01c757d8e311f4c30b44b4ce973.jpg,Anorganik,kaleng,600,600,1.0,train
ECO_00085,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_195.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00086,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000348.jpg,Anorganik,kaleng,1024,598,1.71,train
ECO_00087,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/image_142.jpg,Anorganik,kaleng,280,280,1.0,train
ECO_00088,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan767.jpg,Anorganik,kaleng,512,683,0.75,train
ECO_00089,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000176.jpg,Anorganik,kaleng,1000,540,1.85,train
ECO_00090,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/00000162.jpg,Anorganik,kaleng,800,480,1.67,train
ECO_00091,/content/drive/MyDrive/EcoWise/dataset-trashcan/Anorganik/kaleng/AluCan773.jpg,Anorganik,kaleng,512,683,0.75,test
